playerid,name,position,teamid,teamname,teamabbr,points,pointschange,value,valueid,valuechangeamount,valuechangepercentage,valuechangedirection,status,starts,goals,assists,concedes,cleansheets,saves,pensmissed,redcards,weekpoints,highestvalue,lowestvalue,form,image,starmen,rating
178347,Mariano,FOR,186,Real Madrid,RMD,7,0,6.8,0,0.025,0.36900369003690037,d,a,0,1,0,0,0,0,0,0,0,6.8,6.7,7,https://secure.cache.images.core.optasports.com/soccer/players/150x150/206423.png,0,0.00000
46197,Mario Mandzukic,FOR,128,Juventus,JUV,4,0,7.3,0,0.025,0.3448275862068966,d,a,2,0,0,0,0,0,0,0,0,7.3,7.3,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/20303.png,0,0.00000
192849,Marius Wolf,FOR,157,Borussia Dortmund,BVB,4,0,5.8,0,0.025,0.43478260869565216,d,a,2,0,0,0,0,0,0,0,0,5.8,5.8,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/259490.png,0,0.00000
85075,Mark Uth,FOR,167,FC Schalke 04,SCH,4,0,6.0,0,0.025,0.42016806722689076,d,a,2,0,0,0,0,0,0,0,0,6.0,6.0,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/164106.png,0,0.00000
81148,Marko Livaja,FOR,234,AEK Athens,AEK,0,0,5.6,0,0.050,0.892857142857143,d,s,0,0,0,0,0,0,0,0,0,5.7,5.6,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/116576.png,0,0.00000
230755,Marquinhos Cipriano,FOR,455,Shakhtar Donetsk,SHA,0,0,5.5,0,0.050,0.9090909090909092,d,a,0,0,0,0,0,0,0,0,0,5.6,5.5,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/485422.png,0,0.00000
232176,Martin Terrier,FOR,143,Lyon,LYN,0,0,6.1,0,0.050,0.819672131147541,d,i,0,0,0,0,0,0,0,0,0,6.2,6.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/419313.png,0,0.00000
153776,Matteo Politano,FOR,127,Internazionale,INT,4,0,5.9,0,0.025,0.4273504273504274,d,a,2,0,0,0,0,0,0,0,0,5.9,5.9,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/245593.png,0,0.00000
106109,Mauro Icardi,FOR,127,Internazionale,INT,17,0,7.7,0,0.150,1.9607843137254901,u,a,2,2,1,0,0,0,0,0,0,7.7,7.4,17,https://secure.cache.images.core.optasports.com/soccer/players/150x150/244054.png,0,0.00000
203711,Maximiliano Romero,FOR,204,PSV,PSV,0,0,5.6,0,0.050,0.892857142857143,d,a,0,0,0,0,0,0,0,0,0,5.7,5.6,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/396272.png,0,0.00000
149519,Maxwel Cornet,FOR,143,Lyon,LYN,8,0,6.8,0,0.025,0.36900369003690037,d,a,1,1,0,0,0,0,0,0,0,6.8,6.7,8,https://secure.cache.images.core.optasports.com/soccer/players/150x150/260856.png,0,0.00000
218360,Meris Skenderovic,FOR,1902,TSG 1899 Hoffenheim,TSG,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/413913.png,0,0.00000
95695,Michal Krmencik,FOR,2703,Viktoria Plzen,VIK,14,0,5.7,0,0.025,0.4405286343612335,d,a,2,2,0,0,0,0,0,0,0,5.7,5.5,14,https://secure.cache.images.core.optasports.com/soccer/players/150x150/178264.png,0,0.00000
94245,Michy Batshuayi,FOR,191,Valencia CF,VAL,4,0,7.0,0,0.025,0.3597122302158274,d,a,2,0,0,0,0,0,0,0,0,7.0,7.0,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/177338.png,0,0.00000
209844,Mikhail Lysov,FOR,271,Lokomotiv Moscow,LCM,0,0,5.2,0,0.050,0.9615384615384616,d,a,0,0,0,0,0,0,0,0,0,5.3,5.2,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/386285.png,0,0.00000
429808,Milan Senic,FOR,214,Crvena Zvezda,RSB,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
40649,Miralem Sulejmani,FOR,1963,Young Boys,BSC,4,0,5.4,0,0.025,0.4672897196261683,d,a,2,0,0,0,0,0,0,0,0,5.4,5.4,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/8829.png,0,0.00000
57167,Moraes,FOR,455,Shakhtar Donetsk,SHA,17,0,6.1,0,0.200,3.3057851239669422,u,a,2,2,1,0,0,0,0,0,0,6.1,5.8,17,https://secure.cache.images.core.optasports.com/soccer/players/150x150/9372.png,0,0.00000
231669,Moumi Nicolas Ngamaleu,FOR,1963,Young Boys,BSC,2,0,5.3,0,0.025,0.4761904761904762,d,a,0,0,0,0,0,0,0,0,0,5.3,5.3,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/305214.png,0,0.00000
122399,Moussa Dembele,FOR,143,Lyon,LYN,7,0,6.6,0,0.100,1.5267175572519085,u,a,1,1,0,0,0,0,0,0,0,6.6,6.5,7,https://secure.cache.images.core.optasports.com/soccer/players/150x150/289781.png,0,0.00000
243557,Moussa Diaby,FOR,149,Paris Saint-Germain,PSG,0,0,5.8,0,0.050,0.8620689655172413,d,a,0,0,0,0,0,0,0,0,0,5.9,5.8,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/436589.png,0,0.00000
204152,Moussa Marega,FOR,201,FC Porto,FCP,12,0,6.2,0,0.100,1.6260162601626014,u,a,2,1,1,0,0,0,0,0,0,6.2,6.0,12,https://secure.cache.images.core.optasports.com/soccer/players/150x150/214400.png,0,0.00000
240149,Moussa Sylla,FOR,146,Monaco,MON,3,0,5.1,0,0.025,0.49504950495049505,d,a,1,0,0,0,0,0,0,0,0,5.1,5.1,3,https://secure.cache.images.core.optasports.com/soccer/players/150x150/459831.png,0,0.00000
176729,Mugdat Celik,FOR,208,Galatasaray,GAL,0,0,5.4,0,0.050,0.9259259259259258,d,a,0,0,0,0,0,0,0,0,0,5.5,5.4,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/266056.png,0,0.00000
225428,Muhammet Yesilyurt,FOR,208,Galatasaray,GAL,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
170864,Munir El Haddadi,FOR,178,Barcelona,FCB,0,0,5.6,0,0.050,0.892857142857143,d,a,0,0,0,0,0,0,0,0,0,5.7,5.6,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/312839.png,0,0.00000
61278,Neymar,FOR,149,Paris Saint-Germain,PSG,22,0,8.2,0,0.200,2.4539877300613497,u,a,2,3,1,0,0,0,0,0,0,8.2,7.9,22,https://secure.cache.images.core.optasports.com/soccer/players/150x150/102697.png,0,0.00000
50401,Nikola Kalinic,FOR,175,Atlético de Madrid,ATM,0,0,6.9,0,0.050,0.7246376811594203,d,a,0,0,0,0,0,0,0,0,0,7.0,6.9,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/33232.png,0,0.00000
176277,Nikola Storm,FOR,413,Club Brugge,BRU,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
111919,Olarenwaju Kayode,FOR,455,Shakhtar Donetsk,SHA,1,0,5.6,0,0.025,0.4444444444444444,d,a,0,0,0,0,0,0,0,0,0,5.7,5.6,1,https://secure.cache.images.core.optasports.com/soccer/players/150x150/102554.png,0,0.00000
451558,Ondrej Stursa,FOR,2703,Viktoria Plzen,VIK,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
86876,Paco Alcácer,FOR,157,Borussia Dortmund,BVB,4,0,7.2,0,0.050,0.6944444444444445,u,a,1,1,0,0,0,0,1,0,0,7.2,7.2,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/164611.png,0,0.00000
196680,Patrik Schick,FOR,121,Roma,ROM,2,0,5.5,0,0.025,0.45871559633027525,d,a,0,0,0,0,0,0,0,0,0,5.5,5.5,2,https://secure.cache.images.core.optasports.com/soccer/players/150x150/268808.png,0,0.00000
120638,Paulo Dybala,FOR,128,Juventus,JUV,17,0,7.6,0,0.200,2.6490066225165565,u,a,1,3,0,0,0,0,0,0,0,7.6,7.4,17,https://secure.cache.images.core.optasports.com/soccer/players/150x150/201072.png,0,0.00000
209244,Phil Foden,FOR,43,Manchester City,MNC,0,0,5.9,0,0.050,0.847457627118644,d,a,0,0,0,0,0,0,0,0,0,6.0,5.9,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/453102.png,0,0.00000
209335,Pietro Pellegri,FOR,146,Monaco,MON,0,0,5.4,0,0.050,0.9259259259259258,d,a,0,0,0,0,0,0,0,0,0,5.5,5.4,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/467674.png,0,0.00000
80590,Pizzi,FOR,251,Benfica,BEN,7,0,6.4,0,0.050,0.7782101167315176,u,a,2,0,1,0,0,0,0,0,0,6.4,6.4,7,https://secure.cache.images.core.optasports.com/soccer/players/150x150/56840.png,0,0.00000
148515,Rafa,FOR,251,Benfica,BEN,3,0,5.8,0,0.025,0.43478260869565216,d,a,1,0,0,0,0,0,0,0,0,5.8,5.8,3,https://secure.cache.images.core.optasports.com/soccer/players/150x150/254988.png,0,0.00000
