playerid,name,position,teamid,teamname,teamabbr,points,pointschange,value,valueid,valuechangeamount,valuechangepercentage,valuechangedirection,status,starts,goals,assists,concedes,cleansheets,saves,pensmissed,redcards,weekpoints,highestvalue,lowestvalue,form,image,starmen,rating
28326,Matús Kozácik,GK,2703,Viktoria Plzen,VIK,3,0,5.4,0,0.025,0.4672897196261683,d,a,2,0,0,7,0,13,0,0,0,5.4,5.4,3,https://secure.cache.images.core.optasports.com/soccer/players/150x150/14997.png,0,0.00000
27405,Michael Langer,GK,167,FC Schalke 04,SCH,0,0,5.2,0,0.050,0.9615384615384616,d,a,0,0,0,0,0,0,0,0,0,5.3,5.2,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/1927.png,0,0.00000
39215,Michel Vorm,GK,6,Tottenham Hotspur,TOT,1,0,5.3,0,0.050,0.9389671361502347,d,d,1,0,0,2,0,2,0,0,0,5.4,5.3,1,https://secure.cache.images.core.optasports.com/soccer/players/150x150/2476.png,0,0.00000
87403,Milan Borjan,GK,214,Crvena Zvezda,RSB,12,0,5.4,0,0.025,0.4608294930875576,d,a,2,0,0,6,1,19,0,0,0,5.5,5.3,12,https://secure.cache.images.core.optasports.com/soccer/players/150x150/90655.png,0,0.00000
228531,Mile Svilar,GK,251,Benfica,BEN,0,0,5.5,0,0.050,0.9090909090909092,d,a,0,0,0,0,0,0,0,0,0,5.6,5.5,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/372247.png,0,0.00000
120671,Miroslav Lobantsev,GK,271,Lokomotiv Moscow,LCM,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
101116,Mykyta Shevchenko,GK,455,Shakhtar Donetsk,SHA,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/.png,0,0.00000
60563,Nemanja Supic,GK,214,Crvena Zvezda,RSB,0,0,5.0,0,0.050,1,d,a,0,0,0,0,0,0,0,0,0,5.1,5.0,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/75946.png,0,0.00000
69752,Neto,GK,191,Valencia CF,VAL,10,0,5.9,0,0.150,2.5316455696202533,u,a,2,0,0,2,1,7,0,0,0,5.9,5.8,10,https://secure.cache.images.core.optasports.com/soccer/players/150x150/89711.png,0,0.00000
224082,Nikita Medvedev,GK,271,Lokomotiv Moscow,LCM,0,0,5.2,0,0.050,0.9615384615384616,d,a,0,0,0,0,0,0,0,0,0,5.3,5.2,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/317374.png,0,0.00000
167997,Norbert Alblas,GK,215,Ajax,AJA,0,0,5.1,0,0.050,0.9803921568627453,d,a,0,0,0,0,0,0,0,0,0,5.2,5.1,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/276990.png,0,0.00000
111452,Odisseas Vlachodimos,GK,251,Benfica,BEN,4,0,5.5,0,0.025,0.45871559633027525,d,a,2,0,0,4,0,8,0,0,0,5.5,5.5,4,https://secure.cache.images.core.optasports.com/soccer/players/150x150/159864.png,0,0.00000
230795,Oleh Kudryk,GK,455,Shakhtar Donetsk,SHA,0,0,5.2,0,0.050,0.9615384615384616,d,a,0,0,0,0,0,0,0,0,0,5.3,5.2,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/372911.png,0,0.00000
119666,Oleksiy Shevchenko,GK,455,Shakhtar Donetsk,SHA,0,0,5.4,0,0.050,0.9259259259259258,d,a,0,0,0,0,0,0,0,0,0,5.5,5.4,0,https://secure.cache.images.core.optasports.com/soccer/players/150x150/196253.png,0,0.00000
